Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
Raazi,2018,Not Rated,11 May 2018,138 min,"Action, Drama, Thriller",Meghna Gulzar,"Harinder S. Sikka, Meghna Gulzar, Bhavani Iyer","Alia Bhatt, Vicky Kaushal, Rajit Kapoor","Hidayat Khan is the son of an Indian freedom fighter and agent posing as an informant for the Pakistani government. He wishes to make his 20-year-old daughter Sehmat an agent and continue the family tradition of being in service to the country. Sehmat leaves college. She is hastily trained by senior RAW officer Khalid Mir. Her father uses his friendship with Brigadier Syed of the Pakistan Army to get Sehmat married to his son, Iqbal Syed, a military officer. Sehmat quickly settles into her married life, she falls in love with Iqbal. But everything starts to complicated.",Hindi,India,28 wins & 55 nominations,https://m.media-amazon.com/images/M/MV5BZmVhN2JlYjEtZWFkOS00YzE0LThiNDMtMGI3NDA1MTk2ZDQ2XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,7.7,"33,482",tt7098658,movie,16 Jul 2018,N/A,N/A,N/A,True
Dil Chahta Hai,2001,Not Rated,10 Aug 2001,183 min,"Comedy, Drama, Romance",Farhan Akhtar,"Kassim Jagmagia, Farhan Akhtar, Karan Vishwanath Kashyap","Aamir Khan, Saif Ali Khan, Akshaye Khanna","Three young men Akash, Sameer, and Siddharth are close friends, but their tastes and characters are completely incompatible. So when Siddharth falls in love with a much older woman, Tara, a woman who has been unsuccessful in keeping her marriage intact as well as alcohol-dependent, widens the rift between the trio, forcing them to part company. Years later, the trio will be re-united, they will be much mature and understanding, but will they still accept Siddharth love for Tara, especially when they themselves have fallen in love with women around their respective ages?","Hindi, English",India,29 wins & 43 nominations,https://m.media-amazon.com/images/M/MV5BMjRjMTYwMTYtMmRkNi00MmVkLWE0MjQtNmM3YjI0NWFhZDNmXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,8.1,"75,322",tt0292490,movie,18 Nov 2016,N/A,N/A,N/A,True
Bye2,2020,N/A,07 Dec 2020,48 min,"Drama, Romance",Tanveer Hashmi,Amrit,"Bhushan, Karan, Vipin Singh","Story of boy and girl, how relationships change over a period of life and how hard is to say Bye sometimes when you want to end the relationship.",Hindi,India,N/A,https://m.media-amazon.com/images/M/MV5BMjYxZGViYTktYWI3YS00NTkzLWE0NmMtMWI0MTgxYWJhN2EyXkEyXkFqcGdeQXVyNTEzNzM2MDc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}]",N/A,8.1,83,tt13781794,movie,N/A,N/A,N/A,N/A,True
Darlings,2022,TV-14,05 Aug 2022,133 min,"Comedy, Drama, Thriller",Jasmeet K Reen,"Parveez Sheikh, Jasmeet K Reen, Vijay Maurya","Alia Bhatt, Shefali Shah, Vijay Varma",It follows the lives of two women as they find courage and love in exceptional circumstances.,Hindi,India,22 wins & 50 nominations,https://m.media-amazon.com/images/M/MV5BZjY5OGMyYTQtOWUzZC00ZTdlLTk3ZWItM2UxMGE2MzI1YjgwXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}]",N/A,6.6,"21,117",tt14152140,movie,05 Aug 2022,N/A,N/A,N/A,True
Runway 34,2022,N/A,29 Apr 2022,145 min,"Drama, Thriller",Ajay Devgn,"Sandeep Kewlani, Aamil Keeyan Khan","Ajay Devgn, Amitabh Bachchan, Rakul Preet Singh","Captain Vikrant Khanna, a flying prodigy of sorts, who was determined to save the lives of 150 people when things went awry 35000 feet above sea level. Followed by an official investigation to determine, what and how things unravelled, this edge of the seat thriller takes a look at what happened on that fateful morning inside that cockpit and outside of it; what triggered the incident and what the incident triggered.",Hindi,India,1 win,https://m.media-amazon.com/images/M/MV5BN2YzNjU4MTYtMzY5OS00ODg0LTkxMTUtNjg0YjRkYzI5ZWJjXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}]",N/A,7.0,"30,275",tt11460992,movie,N/A,N/A,N/A,N/A,True
Masaan,2015,N/A,24 Jun 2015,109 min,Drama,Neeraj Ghaywan,"Akbar Allahabadi, Bashir Badr, Brij Narayan Chakbast","Richa Chadha, Sanjay Mishra, Vicky Kaushal","Four lives intersect along the Ganges: a low caste boy hopelessly in love, a daughter ridden with guilt of a sexual encounter ending in a tragedy, a hapless father with fading morality, and a spirited child yearning for a family, long to escape the moral constructs of a small-town.",Hindi,"India, France",25 wins & 29 nominations,https://m.media-amazon.com/images/M/MV5BMTU4NTE0NTMyNl5BMl5BanBnXkFtZTgwNjI5MDkxNjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}]",N/A,8.1,"30,912",tt4635372,movie,04 Apr 2017,N/A,N/A,N/A,True
Sanju,2018,TV-MA,29 Jun 2018,155 min,"Biography, Comedy, Drama",Rajkumar Hirani,"Abhiruchi Chand, Rajkumar Hirani, Abhijat Joshi","Ranbir Kapoor, Paresh Rawal, Manisha Koirala","Few lives in our time are as dramatic and enigmatic as the saga of Sanjay Dutt. Coming from a family of cinema legends, he himself became a film star, then saw dizzying heights and darkest depths: adulation of die-hard fans, unending battles with various addictions, brushes with the underworld, prison terms, loss of loved ones, and the haunting speculation that he might be a terrorist. Sanju is in turns a hilarious and heartbreaking exploration of one man's battle against his own wild self and the formidable external forces trying to crush him. It depicts the journey of a man through everything that life can throw at him. Some true stories leave you thinking ""did this really happen?"" This is one such unbelievable story that happens to be true.",Hindi,India,19 wins & 32 nominations,https://m.media-amazon.com/images/M/MV5BZWM1NDdhMTEtNWViZi00ZmM0LWJjZmEtZDVkN2RlYWM1ZDZjXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '41%'}]",N/A,7.6,"61,105",tt6452574,movie,15 Oct 2018,"$7,909,317",N/A,N/A,True
Govinda Naam Mera,2022,N/A,16 Dec 2022,131 min,"Comedy, Crime, Drama",Shashank Khaitan,Shashank Khaitan,"Vicky Kaushal, Kiara Advani, Bhumi Pednekar","The very charming Govinda Waghmare juggles his time and love between his wife Mrs. Waghmare and his girlfriend in this dose of chaos, confusion, and laughter.",Hindi,India,1 win & 11 nominations,https://m.media-amazon.com/images/M/MV5BZGJiZDY2ODQtMDViNC00ZmJkLTk4NzUtOGNkM2EwMzc3YmQ5XkEyXkFqcGdeQXVyOTI3MzI4MzA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",N/A,6.5,"10,398",tt16077702,movie,N/A,N/A,N/A,N/A,True
Rockstar,2011,Not Rated,11 Nov 2011,159 min,"Drama, Music, Romance",Imtiaz Ali,"Imtiaz Ali, Muazzam Beg","Ranbir Kapoor, Nargis Fakhri, Shammi Kapoor","The film follows Janardhan Jhakar in a series of flashbacks and flash forwards, how the small collage boy became an international rock sensation ""Jordan"". To chase his dreams of a rockstar, the wanna-be singer his counseled that music and feelings only come with pain. In the process of which, he meets Heer, a tough on the outside and popular college girl, the both become friends, and as time passes by his dreams of music fade away as they spend time together. When heer moves away, Janardhan is thrown out of his house because of family misunderstandings. As he bides his time at a local mosque, his passion for music comes back to life. He is soon signed by a record label, where he makes more enemies than friends, his tour takes him to Prague, where he is reunited with a married Heer. Things go awry when the two share an intimate moment, and Jordan his deported to India on trespassing charges filed by Heer's husband. Now an angry painful and lonely JORDAN embarks on his journey to become a ROCKSTAR",Hindi,India,40 wins & 39 nominations,https://m.media-amazon.com/images/M/MV5BOTc3NzAxMjg4M15BMl5BanBnXkFtZTcwMDc2ODQwNw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}]",N/A,7.7,"48,184",tt1839596,movie,19 Nov 2016,"$986,697",N/A,N/A,True
Mom,2017,TV-MA,07 Jul 2017,146 min,"Crime, Drama, Thriller",Ravi Udyawar,"Girish Kohli, Ravi Udyawar, Kona Venkat","Sridevi, Sajal Ali, Akshaye Khanna","Devaki is a biology teacher at the same school attended by her stepdaughter Arya. Although, Devaki is a caring mother, Arya remains distant. One unfortunate night, Arya is brutally attacked. When the justice system fails them, Devaki faces some tough decisions and goes to great lengths to find justice for her daughter.",Hindi,India,8 wins & 14 nominations,https://m.media-amazon.com/images/M/MV5BOTc0YTJhZDktMGViYi00NjIwLThiMDEtY2E4NWFkYWQxNjQ5XkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '67%'}]",N/A,7.2,"11,825",tt5690142,movie,21 Aug 2018,N/A,N/A,N/A,True
Kalank,2019,Not Rated,17 Apr 2019,166 min,"Drama, Romance",Abhishek Varman,"Shibani Bathija, Hussain Dalal, Abhishek Varman","Kriti Sanon, Alia Bhatt, Kiara Advani","Set in 1945, in Pre-Independent India, the elite, opulent and solemn world of the Chaudhry family, and the wild, mysterious and musical underbelly of the town, Hira Mandi, clash when Roop Chaudhry encounters Zafar, a daredevil from Hira Mandi, unleashing deep-buried truths, secrets of betrayal and affairs that threaten to bring the both worlds crashing down.",Hindi,India,13 wins & 21 nominations,https://m.media-amazon.com/images/M/MV5BYTg4NWEyMjMtNTM2MS00M2I4LWFjOTQtMDRjNjc0ODI3NmY4XkEyXkFqcGdeQXVyOTc1MDE5NzI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '39%'}]",N/A,3.6,"16,961",tt6988116,movie,01 Jul 2019,"$2,729,336",N/A,N/A,True
Article 15,2019,Not Rated,28 Jun 2019,130 min,"Crime, Drama, Mystery",Anubhav Sinha,"Anubhav Sinha, Gaurav Solanki","Ayushmann Khurrana, Nassar, Manoj Pahwa",In Lalgaon village two Dalit girls are abducted in a school bus Ayan Ranjan an IPS officer is assigned on the case where he closely works with two officers Brahmdutt and Jatav.Ayan finds that villagers believe in caste discrimination which is the major problem he meets his old friend Satinder who behaves strangely and goes missing next morning.The two girls body are found hanging on a tree while one goes missing an autopsy revels that they were raped multiple times.Gaura sister of one of the dead girl tells Ayan that they were slapped by their owner Anshu when they asked to increase their daily wage by three Rupees .Ayan finds that Anshu did this due to caste discrimination and posts copy of Article 15 according to constitution of India at the police station.,Hindi,India,22 wins & 36 nominations,https://m.media-amazon.com/images/M/MV5BZTI2NTFiMDMtZjQxNS00YjBkLWFhNWMtOTIyMzE5Yjc0ZTZiXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}]",N/A,8.1,"36,385",tt10324144,movie,06 Sep 2019,N/A,N/A,N/A,True
Lust Stories,2018,TV-MA,15 Jun 2018,120 min,"Drama, Romance","Zoya Akhtar, Dibakar Banerjee, Karan Johar","Radhika Apte, Dibakar Banerjee, Anurag Kashyap","Kiara Advani, Vicky Kaushal, Bhumi Pednekar","Four short films by four of India's biggest directors exploring love, sex and relationships in modern India.","Hindi, English",India,1 win & 5 nominations,https://m.media-amazon.com/images/M/MV5BMTgwNTQ4NDAyN15BMl5BanBnXkFtZTgwNjMwMzQ3NTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,6.4,"13,198",tt8439854,movie,15 Jun 2018,N/A,N/A,N/A,True
Shehzada,2023,N/A,17 Feb 2023,142 min,"Action, Comedy, Drama",Rohit Dhawan,"Hussain Dalal, Rohit Dhawan, Trivikram Srinivas","Kartik Aaryan, Kriti Sanon, Paresh Rawal","Bantu is hated by his father Valmiki since he was a toddler. Samara, his boss, shows him affection and love until he discovers that the Jindals are his parents. Bantu decides to seek Jindals love and protect them from threats they...",Hindi,India,N/A,https://m.media-amazon.com/images/M/MV5BMjQzYjE0NGEtZjBkOS00NjUzLWIwOWQtOWYyYjZjNjI1MzQyXkEyXkFqcGdeQXVyMTA1OTk1MjY3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.5/10'}]",N/A,4.5,"30,920",tt13130948,movie,N/A,N/A,N/A,N/A,True
Zero,2018,Not Rated,21 Dec 2018,164 min,"Comedy, Drama, Romance",Aanand L. Rai,Himanshu Sharma,"Shah Rukh Khan, Anushka Sharma, Katrina Kaif","The story revolves around Bauua Singh (Shah Rukh Khan), a vertically challenged man, who is full of charm and wit, with a pinch of arrogance. Born to a wealthy family and raised in an environment of affluence and indulgence, Bauua was never failed by Meerut or its people. But when he meets two women (Katrina Kaif, Anushka Sharma), his experiences with these women take him on a journey to complete his 'incompleteness' and broaden his horizons to find a purpose he never knew he had.",Hindi,India,6 wins & 13 nominations,https://m.media-amazon.com/images/M/MV5BYmU1MWJmZDgtNDk1NC00MWUzLTgyNmYtZDQ4NjVkYmZmNDZkXkEyXkFqcGdeQXVyOTQ0NTkwMDM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '31%'}]",N/A,5.2,"30,338",tt6527426,movie,24 Apr 2019,"$1,035,388",N/A,N/A,True
A Thursday,2022,N/A,17 Feb 2022,128 min,"Drama, Thriller",Behzad Khambata,"Behzad Khambata, Ashley Lobo, Vijay Maurya","Yami Gautam, Atul Kulkarni, Neha Dhupia","Naina, a playschool teacher, takes 16 students hostage. Rattling the police and the leaders, her demands send shockwaves through the country.",Hindi,India,6 wins & 5 nominations,https://m.media-amazon.com/images/M/MV5BZjhjMjIwMTUtNDNjNS00N2NjLWE1OTMtYjg2ZWJmNzhkOGJiXkEyXkFqcGdeQXVyMTI1NDEyNTM5._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '13%'}]",N/A,7.7,"25,515",tt13028258,movie,N/A,N/A,N/A,N/A,True
Rang De Basanti,2006,Not Rated,26 Jan 2006,167 min,"Comedy, Crime, Drama",Rakeysh Omprakash Mehra,"Renzil D'Silva, Prasoon Joshi, Rakeysh Omprakash Mehra","Aamir Khan, Soha Ali Khan, Siddharth","Sue comes to India to make a film on Indian revolutionaries. She is helped by her friend Sonia who introduces her to her friends Karan, Aslam, Sukhi, and their head DJ. Sonia's fiance, Lt Ajay Rathod, also joins the gang when in town. Their gang always gets in trouble with political member Laxman who opposes their Western culture. After many auditions Sue decides to cast DJ and his friends in her film; she also gives Laxman a role, ending his feud with the gang. Everything goes well until Ajay dies in a plane crash but manages to save everyone else on board. The state minister declares that Ajay died due to his own negligence. DJ an his friends can't take this shame given to Ajay by the minister and decide to fight for justice, but political games interfere.",Hindi,India,Nominated for 1 BAFTA Award50 wins & 56 nominations total,https://m.media-amazon.com/images/M/MV5BYThmZDA0YmQtMWJhNy00MDQwLTk0Y2YtMDhmZTE5ZjhlNjliXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}]",N/A,8.1,"122,360",tt0405508,movie,01 Jan 1998,"$2,197,694",N/A,N/A,True
Rocketry: The Nambi Effect,2022,Not Rated,01 Jul 2022,157 min,"Biography, Drama",Madhavan,"Madhavan, Anant Mahadevan, Rahul Pandey","Madhavan, Simran, Rajit Kapoor","Based by the life of ISRO Scientist Nambi Narayanan who was falsely accused of being a spy and arrested in 1994. Though free, he is still fighting for justice, with those police officials alleged to have falsely implicated him, still free.","Hindi, Tamil, English, French",India,5 wins & 15 nominations,https://m.media-amazon.com/images/M/MV5BNTk2MjUxMjEtZDU5OC00MzYxLTkwMWYtMGM5YWQ0MWMyN2I1XkEyXkFqcGdeQXVyMTE0MzY0NjE1._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '64%'}]",N/A,8.7,"58,464",tt9263550,movie,N/A,N/A,N/A,N/A,True
Dilwale,2015,Not Rated,18 Dec 2015,158 min,"Action, Comedy, Drama",Rohit Shetty,"Yunus Sajawal, Farhad Samji, Sajid","Shah Rukh Khan, Kajol, Varun Dhawan",Raj is a Mafia member. One day he meets a girl (Meera) while being chased by his rival gang and falls in love with her. Later he finds out that this girl is the daughter of the leader of his rival gang. Yet their love story continues until he was shot by his girlfriend upon a deep misunderstanding. After that incident these two lovers live separate until their siblings fall in love. With this new love story their paths intertwines again.,Hindi,India,12 wins & 12 nominations,https://m.media-amazon.com/images/M/MV5BMjEyNzAyNjExN15BMl5BanBnXkFtZTgwNjM0MDczNzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '20%'}]",N/A,5.1,"37,956",tt4535650,movie,04 Apr 2017,"$4,871,263",N/A,N/A,True
Jug Jugg Jeeyo,2022,N/A,24 Jun 2022,148 min,"Comedy, Drama, Family",Raj Mehta,"Sumit Batheja, Rishabh Sharma, Anurag Singh","Varun Dhawan, Anil Kapoor, Kiara Advani",Two couples from different generations confront their issues after marriage.,Hindi,India,10 wins & 17 nominations,https://m.media-amazon.com/images/M/MV5BMTg5YjlkZmItZWZjOC00ZWQ5LTk2MjctYmI2ZGYzODY0N2ZmXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",N/A,6.1,"38,826",tt13449624,movie,N/A,"$1,033,000",N/A,N/A,True
Gully Boy,2019,Not Rated,14 Feb 2019,154 min,"Drama, Music, Romance",Zoya Akhtar,"Zoya Akhtar, Reema Kagti, Vijay Maurya","Ranveer Singh, Alia Bhatt, Siddhant Chaturvedi","""Gully Boy"" is a film about a 22-year-old boy ""Murad"" from a ghetto in Mumbai, India. The son of a driver, his parents worked hard to get him educated so that he could have a white collar job. Meanwhile, Murad realizes his calling to be a rapper. Authentic Hip Hop in India is a recent phenomenon and like anywhere else in the world, is rising from the streets. Art is a distant dream for the colonized poor of India and this story is about Murad's journey from realizing his love for rap and chasing his dream to inadvertently transcending his class. The film showcases street rap from the crevices of Mumbai's by lanes. The poetry is conscious of the city's socio-economic fabric and highlights the challenges faced by the disenfranchised youth in the minority population.","Hindi, English",India,75 wins & 67 nominations,https://m.media-amazon.com/images/M/MV5BZDkzMTQ1YTMtMWY4Ny00MzExLTkzYzEtNzZhOTczNzU2NTU1XkEyXkFqcGdeQXVyODY3NjMyMDU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",65,7.9,"43,559",tt2395469,movie,18 Apr 2019,"$5,566,534",N/A,N/A,True
Chennai Express,2013,Not Rated,08 Aug 2013,141 min,"Action, Comedy, Drama",Rohit Shetty,"K. Subhash, Yunus Sajawal, Robin Bhatt","Deepika Padukone, Shah Rukh Khan, Sathyaraj",A man travelling to Rameswaram via Chennai express for his late grandfather's ashes immersion finds himself in trouble after helping a don's daughter and her cousins board the train.,"Hindi, Tamil, English, Marathi",India,33 wins & 55 nominations,https://m.media-amazon.com/images/M/MV5BOGYyNDQxOTEtOTIxYS00M2M3LWFmMzEtNWRmNmIyZTlhOWY1XkEyXkFqcGdeQXVyMTA4NjE0NjEy._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '53%'}, {'Source': 'Metacritic', 'Value': '45/100'}]",45,6.1,"63,736",tt2112124,movie,11 Mar 2017,"$5,307,960",N/A,N/A,True
War,2019,Not Rated,02 Oct 2019,151 min,"Action, Adventure, Thriller",Siddharth Anand,"Siddharth Anand, Aditya Chopra, Shridhar Raghavan","Hrithik Roshan, Tiger Shroff, Vaani Kapoor","India's top agent Kabir (Hrithik Roshan) leads the Elite Shadow Unit of R&amp;AW, a compact group of the crème de la crème of the armed forces who are personally trained by him and work with him on various high-risk missions across the world. Among Kabir and Colonel Luthra's key targets are an international arms baron Rizwan Ilyasi who has been key in various acts of terrorism against the country. Khalid (Tiger Shroff) has fought his way up the ranks of the Indian armed forces. His greatest challenge and battle has been to fight against the sins of his father, once a decorated soldier working with Kabir who had turned a traitor. His ambition has been to join Kabir's team to remove any stains on their family name. Kabir is not keen due to their past history, but Colonel Luthra requests him to, and gradually Kabir is also impressed by Khalid's intense dedication and grit. Khalid becomes Kabir's greatest soldier ever, flirting with death repeatedly in mission after mission as they go after the country's enemies, including a mission against Rizwan Ilyasi that nearly kills Khalid. But Khalid's greatest mission, his toughest yet, is still to come. When his own mentor Kabir turns rogue and starts to go after top officials and scientists and officers in the Indian establishment, targeting and executing them viciously across the world. Colonel Luthra is unsure if Khalid has it in him to go after Kabir. Is he clever enough to hunt the man who trained him, and even if he does get him, does he have it in him to put a bullet in his hero's head? Luthra advises Khalid against the mission but he insists - he is the best protégé and the only one who can track the mentor. And only Kabir can answer the crucial question - why did he turn rogue? A vicious cat and mouse game ensues as protégé goes after mentor in a war that spills across the globe. As the chase unravels both Kabir and Khalid begin to finally realize, what desperate stakes really drive them in this terrifying war.","Hindi, Tamil, Telugu",India,24 wins & 19 nominations,https://m.media-amazon.com/images/M/MV5BMGUzZDIyMmEtZWExZi00OTJmLWI4YWUtZjMwNzcwNjgyYTQwXkEyXkFqcGdeQXVyNTkzNDQ4ODc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}]",N/A,6.5,"32,631",tt7430722,movie,28 Nov 2019,"$4,654,000",N/A,N/A,True
Shershaah,2021,TV-14,12 Aug 2021,135 min,"Action, Biography, Drama",Vishnuvardhan,Sandeep Shrivastava,"Sidharth Malhotra, Kiara Advani, Shiv Panditt","Based on the life of Captain Vikram Batra who was an officer of the Indian Army, posthumously awarded with the Param Vir Chakra, India's highest and most prestigious award for valour, for his actions during the 1999 Kargil War in Kashmir between India and Pakistan.",Hindi,India,49 wins & 44 nominations,https://m.media-amazon.com/images/M/MV5BMjk1NzcwMDUtNDU4ZC00MzlhLTkzZjAtM2MxMTRjZGE0ODdhXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '54%'}]",N/A,8.3,"128,927",tt10295212,movie,12 Aug 2021,N/A,N/A,N/A,True
Student of the Year 2,2019,Not Rated,10 May 2019,146 min,"Action, Comedy, Drama",Punit Malhotra,"Arshad Syed, Karan Johar","Tiger Shroff, Ananya Panday, Tara Sutaria","A student must face off against bullies and overcome hurdles, both academic and romantic, to win his college's coveted Student of the Year trophy.",Hindi,India,6 wins & 9 nominations,https://m.media-amazon.com/images/M/MV5BNmFiNjRlODUtNjRiZi00ZDQ0LTk3ZDItZDhjNmU5N2RkNGNjXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '2.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '6%'}]",N/A,2.2,"22,343",tt7255568,movie,27 Aug 2019,"$778,566",N/A,N/A,True
Qala,2022,TV-MA,01 Dec 2022,119 min,"Drama, Music",Anvita Dutt,Anvita Dutt,"Triptii Dimri, Babil Khan, Swastika Mukherjee","Haunted by her past, a talented singer with a rising career copes with the pressure of success, a mother's disdain and the voices of doubt within her.",Hindi,India,14 wins & 39 nominations,https://m.media-amazon.com/images/M/MV5BYzg4ZGU4ZTItNDI0ZC00MDdkLTk0ZDUtZjhjYWQ5OWFlNTg1XkEyXkFqcGdeQXVyMTU2NDkwOTAw._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",N/A,7.2,"7,574",tt14428598,movie,N/A,N/A,N/A,N/A,True
Talvar,2015,Not Rated,02 Oct 2015,132 min,"Crime, Drama, Mystery",Meghna Gulzar,"Vishal Bhardwaj, Aditya Nimbalkar","Irrfan Khan, Konkona Sen Sharma, Neeraj Kabi","The story revolves around the mysterious murder cases of a 14-year girl, Shruti and the domestic help, Khempal who worked at her place. The film is based on the real life Noida Double Murder Case of 2008, where the parents were said to be the prime suspects of the murders. The film showcases three perspectives to the case which emerge as the investigation moves forward.",Hindi,India,11 wins & 34 nominations,https://m.media-amazon.com/images/M/MV5BMTYzODg0Mjc4M15BMl5BanBnXkFtZTgwNzY4Mzc3NjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}]",N/A,8.1,"38,236",tt4934950,movie,N/A,"$342,370",N/A,N/A,True
Kuttey,2023,N/A,13 Jan 2023,109 min,"Action, Comedy, Crime",Aasmaan Bhardwaj,"Aasmaan Bhardwaj, Vishal Bhardwaj","Tabu, Arjun Kapoor, Naseeruddin Shah",A van carrying cash on a rainy night in the outskirts of Mumbai is the crosshairs of three separate gangs all with the same plan. Now that they've crossed paths who will survive?,Hindi,India,3 nominations,https://m.media-amazon.com/images/M/MV5BNzg3MDg3ZTItNzc4OS00YzdiLTgwMTEtNzNkN2E3OWYzZWMzXkEyXkFqcGdeQXVyMTE0MTY2Mzk2._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}]",N/A,5.5,"10,612",tt15281704,movie,N/A,N/A,N/A,N/A,True
Fukrey 3,2023,Not Rated,28 Sep 2023,147 min,"Comedy, Crime, Drama",Mrighdeep Lamba,Vipul Vig,"Pulkit Samrat, Varun Sharma, Manjot Singh",The friends facing disastrously funny situations together and having each other's backs through the trenches to make it out of a new mess this time.,Hindi,India,2 nominations,https://m.media-amazon.com/images/M/MV5BZWUyZjJlOTAtM2ZkOC00ZDY1LTlhODUtMDZmMDVmMDgzMDFkXkEyXkFqcGdeQXVyOTc4NTg3MDM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}]",N/A,5.6,"24,012",tt26445483,movie,N/A,N/A,N/A,N/A,True
Dangerous,2022,R,09 Dec 2022,99 min,"Action, Crime, Drama",Ram Gopal Varma,Ram Gopal Varma,"Naina Ganguly, Rajpal Naurang Yadav, Mithun Purandare",Dangerous is a story of two women who have some bad experiences with men and in due course passionately fall in love with each other. The film's story proceeds with how violently they fight the men to protect their love leads to an explosive climax.,"Telugu, Hindi",India,N/A,https://m.media-amazon.com/images/M/MV5BZDkxMTFhNzUtOWQwMS00N2Y2LWJkYmUtZDM5ZmE5MzAzNzE5XkEyXkFqcGdeQXVyMTI1NDAzMzM0._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '29%'}]",N/A,5.0,"1,272",tt12856788,movie,05 Nov 2021,N/A,N/A,N/A,True
